x start;y start;x end;y end
780;1742;830;1692
1383;1286;1447;1222
714;7;846;7
1240;1833;1292;1795
493;1964;515;1954
1161;831;1202;801
553;1919;577;1914
1701;583;1751;543
1328;1770;1353;1751
444;1612;488;1581
1642;950;1700;913
1827;831;1849;812
840;1679;865;1663
1529;311;1567;264
1271;1987;1321;1968
463;1945;510;1925
1491;433;1515;383
1930;1774;1951;1757
1248;275;1268;244
1597;227;1605;200
1270;1964;1308;1930
1563;653;1588;637
424;1935;472;1909
1779;894;1798;870
631;1858;653;1842
11;1792;32;1764
685;325;710;350
915;340;929;306
1602;1222;1637;1198
650;269;655;297
1212;326;1247;279
1197;1882;1226;1857
1530;971;1555;947
555;1908;587;1885
1956;1751;1987;1731
1170;377;1212;331
1381;1923;1413;1894
1206;294;1220;261
1150;867;1216;835
1723;891;1742;867
519;1950;564;1928
167;1565;197;1527
1107;1832;1141;1803
921;1286;926;1312
868;1001;888;991
593;1672;632;1655
202;1512;230;1492
1190;1393;1200;1417
585;1922;613;1901
903;1148;905;1111
1257;1822;1289;1798
117;1042;147;1034
1585;253;1593;231
527;1945;562;1927
654;1715;675;1716
492;1855;520;1827
1384;1921;1412;1896
1296;1517;1333;1546
1215;787;1236;757
1716;555;1744;534
1949;1770;1972;1750
524;1921;549;1908
76;1934;94;1897
1377;1575;1396;1595
1717;569;1747;545
1280;111;1305;71
897;813;910;866
1190;1867;1202;1843
901;1158;910;1186
578;1639;606;1624
562;613;585;633
1039;1864;1054;1843
526;1889;553;1871
554;1888;575;1872
1141;1901;1152;1921
455;1930;487;1919
874;344;895;315
511;1926;545;1909
501;795;528;776
1058;1919;1081;1908
1173;376;1212;332
110;1978;130;1964
97;1973;129;1946
765;1756;808;1712
1128;1876;1148;1848
622;1868;644;1846
1237;1989;1264;1991
1932;1850;1960;1827
1303;1640;1319;1620
920;826;928;853
393;1952;418;1937
1594;1229;1628;1205
90;1978;129;1944
1369;1563;1387;1587
1529;973;1550;952
921;1768;947;1751
1165;1931;1189;1935
1191;812;1214;788
1180;1362;1183;1383
656;299;674;320
724;364;748;369
1549;287;1567;265
285;1471;301;1451
1273;1962;1310;1930
1187;316;1206;293
1603;201;1622;180
1214;1869;1232;1847
1283;1503;1305;1526
930;305;952;285
490;1967;511;1957
1291;91;1310;66
462;1979;482;1974
1092;873;1120;864
1191;1868;1202;1847
1170;856;1195;844
502;794;530;774
833;1686;857;1667
1130;1363;1154;1352
1171;825;1195;808
308;1454;329;1465
1352;1551;1372;1566
115;1043;140;1037
857;1004;883;994
1256;263;1278;233
1110;890;1140;876
1697;916;1740;871
922;1294;922;1261
123;1576;143;1577
1204;840;1236;830
1720;554;1741;537
1305;1780;1334;1767
446;1611;466;1597
1933;1847;1959;1827
921;831;928;856
877;341;893;319
1564;652;1591;634
410;1941;431;1931
1293;86;1317;60
1935;1769;1965;1744
1215;321;1252;271
591;1672;612;1663
1655;943;1682;925
389;1956;413;1939
899;819;904;840
915;343;922;318
1935;1846;1962;1826
1191;355;1212;328
1597;1226;1623;1209
